C (%),H (%),O (%),S (%),N (%),H/C,O/C,N/C,Ash (%),SC (%),T (°C),RT (min),Mass_RS (g/mol),Polarity _RS (10-3),Mass_SE (g/mol),Polarity _SE (10-3),Yield_oil (%),N_oil (%),ER_oil (%)
31.92,4.45,22.04,1.14,5.22,1.67,0.52,0.14,35.23,9.09,250,60,18,1000,84.93,309,13,5.65,19.61
31.92,4.45,22.04,1.14,5.22,1.67,0.52,0.14,35.23,9.09,275,60,18,1000,84.93,309,13.95,5.38,21.73
31.92,4.45,22.04,1.14,5.22,1.67,0.52,0.14,35.23,9.09,300,60,18,1000,84.93,309,15.24,5.38,23.47
31.92,4.45,22.04,1.14,5.22,1.67,0.52,0.14,35.23,9.09,325,60,18,1000,84.93,309,17.91,5.39,27.61
31.92,4.45,22.04,1.14,5.22,1.67,0.52,0.14,35.23,9.09,350,60,18,1000,84.93,309,16.46,5.65,25.75
31.92,4.45,22.04,1.14,5.22,1.67,0.52,0.14,35.23,9.09,325,15,18,1000,84.93,309,13.64,6.34,19.63
31.92,4.45,22.04,1.14,5.22,1.67,0.52,0.14,35.23,9.09,325,30,18,1000,84.93,309,15.34,5.63,23.42
31.92,4.45,22.04,1.14,5.22,1.67,0.52,0.14,35.23,9.09,325,45,18,1000,84.93,309,15.98,5.78,24.34
31.92,4.45,22.04,1.14,5.22,1.67,0.52,0.14,35.23,9.09,325,60,18,1000,84.93,309,18.02,5.39,27.78
31.92,4.45,22.04,1.14,5.22,1.67,0.52,0.14,35.23,9.09,325,90,18,1000,84.93,309,17.19,5.51,26.2
47.21,8.37,30.6,0.31,8.96,2.13,0.49,0.17,4.55,19.35,300,4,34.85,652.94,84.93,309,42.81,7.64,59
43.78,6.54,33.04,0,10.04,1.79,0.57,0.2,6.6,20,350,60,18,1000,58.08,529.41,34.5,4.79,50.87
43.78,6.54,33.04,0,10.04,1.79,0.57,0.2,6.6,20,350,60,18,1000,58.08,529.41,30.2,6.5,48.33
43.78,6.54,33.04,0,10.04,1.79,0.57,0.2,6.6,20,350,60,18,1000,58.08,529.41,34.5,5.49,78.51
43.78,6.54,33.04,0,10.04,1.79,0.57,0.2,6.6,20,350,60,18,1000,58.08,529.41,39.9,6.36,59.54
33.49,4.61,45.53,0.53,1.71,1.65,1.02,0.04,14.12,9.09,360,50,18,1000,119.39,431.37,25.61,3.71,43.21
26.75,4.4,25.1,2.57,4.12,1.97,0.7,0.13,37.07,6.67,350,8,18,1000,84.93,309,22.1,4.43,55.59
22.38,4.44,33.22,4.04,2.83,2.38,1.11,0.11,33.08,6.67,350,8,18,1000,84.93,309,30.1,5.94,69.49
